CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
547,Germany,Female,39,6,74596.15,0,1,1,85746.52,1
751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0
767,Germany,Male,20,3,119714.25,0,0,1,150135.38,0
763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1
539,Germany,Female,43,3,116220.5,0,1,0,55803.96,1
725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0
659,Germany,Male,64,6,117411.6,1,1,1,45071.09,1
772,Germany,Male,26,7,152400.51,0,1,0,79414.0,0
634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0
739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1
771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0
671,Germany,Female,34,6,53102.854400000004,0,0,0,156917.12,0
850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0
732,Germany,Male,42,9,108748.08,0,1,1,65323.11,0
791,Germany,Female,35,7,53102.854400000004,1,1,0,161051.75,0
733,Germany,Male,34,3,100337.96,0,1,0,48559.19,1
811,Germany,Female,34,1,149297.19,0,1,1,186339.74,0
712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0
479,Germany,Male,35,4,138718.92,1,1,1,47251.79,1
703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
629,Germany,Male,35,7,156847.29,0,1,0,31824.29,0
453,Germany,Male,31,8,78398.69,1,1,0,44937.01,0
729,Germany,Male,30,6,63669.42,1,1,0,145111.37,0
806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0
671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
664,Germany,Male,26,7,116244.14,0,1,1,95145.14,0
663,Germany,Male,44,2,117028.6,0,0,1,144680.18,0
584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1
659,Germany,Female,32,3,150923.74,0,0,1,174652.51,0
716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1
642,Germany,Female,40,6,129502.49,0,0,1,86099.23,1
630,Germany,Female,34,9,106937.05,0,1,0,138275.01,0
643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0
643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1
453,Germany,Female,29,9,99027.61,0,1,0,10940.4,0
540,Germany,Female,42,9,87271.41,0,1,0,172572.64,0
460,Germany,Female,35,8,102742.91,0,1,1,189339.6,0
636,Germany,Male,34,2,53102.854400000004,0,0,1,53512.16,0
640,Germany,Female,64,1,106307.91,0,0,1,113428.77,0
611,Germany,Male,31,0,107884.81,0,1,1,183487.98,0
802,Germany,Male,31,1,125013.72,1,1,1,187658.09,0
717,Germany,Male,35,7,58469.37,0,1,1,172459.39,0
745,Germany,Male,45,10,117231.63,0,1,1,122381.02,1
492,Germany,Female,30,10,77168.87,0,0,1,146700.22,0
709,Germany,Male,28,8,124695.72,0,1,0,145251.35,0
705,Germany,Male,44,3,105934.96,1,1,0,82463.69,0
712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0
752,Germany,Male,38,3,183102.29,1,1,1,71557.12,0
645,Germany,Female,37,2,136925.09,0,0,1,153400.24,0
547,Germany,Male,32,8,155726.85,1,1,0,67789.99,0
593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
668,Germany,Male,37,10,152958.29,0,1,1,159585.61,0
537,Germany,Female,41,3,138306.34,1,1,0,106761.47,0
693,Germany,Female,41,9,181461.48,0,1,1,187929.43,1
487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1
756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1
535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1
492,Germany,Male,39,10,124576.65,0,1,0,148584.61,0
486,Germany,Female,40,9,71340.09,1,1,0,76192.21,0
568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1
619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1
724,Germany,Male,41,2,127892.57,0,0,1,199645.45,0
548,Germany,Female,33,0,101084.36,1,1,0,42749.85,0
545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1
627,Germany,Female,30,4,79871.02,0,1,0,129826.89,0
464,Germany,Female,42,3,85679.25,1,1,1,164104.74,0
494,Germany,Female,38,7,174937.64,1,1,0,40084.32,0
514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1
468,Germany,Male,29,1,111681.98,0,1,1,195711.16,0
816,Germany,Female,38,5,130878.75,0,1,0,71905.77,1
621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
605,Germany,Female,31,1,117992.59,1,1,1,183598.77,0
486,Germany,Male,37,9,115217.99,0,1,0,144995.33,0
714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0
765,Germany,Male,36,8,92310.54,0,1,1,72924.56,0
757,Germany,Male,26,8,121581.56,0,1,1,127059.04,0
691,Germany,Male,30,7,116927.89,1,1,0,21198.39,0
684,Germany,Female,40,6,137326.65,1,1,0,186976.6,0
524,Germany,Female,31,10,67238.98,0,1,1,161811.23,0
632,Germany,Female,38,6,86569.76,0,1,0,98090.91,0
779,Germany,Male,37,7,120092.52,0,1,0,135925.72,0
696,Germany,Male,32,8,101160.99,1,1,1,115916.55,0
572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1
639,Germany,Male,35,10,128173.9,0,1,0,59093.39,0
564,Germany,Female,62,5,114931.35,0,0,1,18260.98,1
745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1
479,Germany,Female,30,7,143964.36,0,1,0,41879.99,0
721,Germany,Female,36,3,65253.07,0,1,0,28737.78,0
674,Germany,Male,47,6,106901.94,1,1,1,2079.2,1
574,Germany,Male,33,3,129834.67,1,1,0,193131.42,0
587,Germany,Male,40,5,138241.9,0,1,0,159418.1,0
598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1
584,Germany,Female,29,7,105204.01,1,0,1,138490.03,0
737,Germany,Male,31,5,121192.22,0,1,1,74890.58,0
547,Germany,Female,30,9,72392.41,1,1,0,77077.14,0
647,Germany,Female,51,1,119741.77,0,0,0,54954.51,1
713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1
611,Germany,Female,41,2,114206.84,1,1,0,164061.6,0
646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1
484,Germany,Female,34,4,148249.54,1,0,1,33738.27,0
698,Germany,Female,51,2,111018.98,1,1,0,86410.28,0
688,Germany,Male,26,8,146133.39,1,1,1,175296.76,0
612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1
535,Germany,Female,53,5,141616.55,0,1,1,75888.65,0
678,Germany,Male,36,3,145747.67,0,0,1,89566.74,0
583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1
540,Germany,Male,44,3,164113.04,0,1,1,12120.79,0
660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1
459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1
498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0
601,Germany,Female,54,1,131039.97,0,1,1,199661.5,0
632,Germany,Female,41,3,81877.38,1,1,1,33642.21,0
624,Germany,Female,48,3,122388.38,0,0,0,30020.09,0
739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1
651,Germany,Female,41,4,133432.59,1,0,1,151303.48,0
749,Germany,Female,40,8,141782.57,0,0,0,86333.63,0
769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1
716,Germany,Male,27,1,122552.34,0,1,0,67611.36,0
745,Germany,Male,36,8,145071.24,1,0,0,6078.46,0
543,Germany,Female,57,1,106138.33,0,1,1,120657.32,1
742,Germany,Male,33,0,181656.51,1,1,1,107667.91,0
659,Germany,Male,36,2,76190.48,0,1,1,149066.14,0
750,Germany,Male,40,5,168286.81,0,1,0,20451.99,1
626,Germany,Male,35,4,88109.81,1,1,1,32825.5,0
634,Germany,Male,35,6,116269.01,1,1,0,129964.94,0
554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0
738,Germany,Male,43,9,121152.05,0,1,0,64166.7,1
545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1
460,Germany,Male,46,4,127559.97,0,1,1,126952.5,0
758,Germany,Female,47,9,95523.16,1,1,0,73294.48,0
815,Germany,Male,37,2,110777.26,0,1,0,2383.59,0
664,Germany,Female,36,2,127160.78,0,1,0,78140.75,0
663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1
742,Germany,Female,21,1,114292.48,1,1,0,31520.4,0
710,Germany,Male,43,2,140080.32,0,1,1,157908.19,1
720,Germany,Male,60,9,115920.62,0,0,0,157552.08,1
742,Germany,Female,36,2,129748.54,0,0,0,47271.61,1
636,Germany,Male,49,6,113599.74,0,1,0,158887.09,1
622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1
747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1
714,Germany,Male,42,2,177640.09,1,0,1,47166.55,0
850,Germany,Female,48,6,111962.99,1,1,0,111755.8,0
743,Germany,Female,34,1,131736.88,1,1,1,108543.21,0
761,Germany,Male,36,8,108239.11,0,0,0,99444.02,0
488,Germany,Male,32,3,114540.38,1,1,0,92568.07,0
601,Germany,Female,42,9,133636.16,1,0,1,103315.74,0
671,Germany,Female,44,0,84745.03,0,0,1,34673.98,0
614,Germany,Female,31,7,120599.38,0,1,1,46163.44,0
598,Germany,Male,53,10,167772.96,1,1,1,136886.86,0
453,Germany,Male,28,8,122384.22,0,1,1,89017.38,1
580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1
659,Germany,Male,36,4,132578.92,0,1,0,84320.94,0
464,Germany,Male,33,8,164284.72,0,1,1,3710.34,0
630,Germany,Female,31,2,112373.49,0,1,1,131167.98,0
732,Germany,Female,29,1,154333.82,1,1,1,138527.56,0
634,Germany,Male,37,3,111432.77,0,1,1,167032.49,0
686,Germany,Female,56,5,111642.08,1,1,1,80553.87,0
732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1
660,Germany,Male,35,8,58641.43,1,0,1,198674.08,0
714,Germany,Male,21,6,86402.52,0,0,0,27330.59,0
646,Germany,Male,46,1,170826.55,0,1,0,45041.32,0
667,Germany,Female,48,1,97133.92,0,0,0,113316.77,1
511,Germany,Female,41,8,153895.65,1,1,1,39087.42,0
567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
678,Germany,Female,25,10,76968.12,0,0,1,131501.72,0
603,Germany,Male,44,6,108122.39,0,1,0,108488.33,1
629,Germany,Female,45,7,129818.39,0,1,0,9217.55,1
502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0
733,Germany,Male,64,3,106545.53,1,1,1,134589.58,0
453,Germany,Male,32,2,57017.06,0,1,1,5907.11,0
728,Germany,Female,35,8,125884.95,0,1,0,54359.02,1
728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0
657,Germany,Male,25,2,171770.55,1,1,0,22745.5,0
727,Germany,Male,40,1,93051.64,0,1,0,71865.31,1
756,Germany,Male,27,1,131899.0,1,1,0,93302.29,0
572,Germany,Female,19,1,138657.08,1,1,1,16161.82,0
714,Germany,Female,36,1,101609.01,0,1,1,447.73,0
639,Germany,Male,38,5,130170.82,1,1,1,149599.62,0
520,Germany,Male,61,8,133802.29,0,1,1,90304.01,0
564,Germany,Male,41,9,103522.75,0,1,1,34338.21,0
708,Germany,Female,42,8,185160.94680000003,0,1,0,823.36,0
850,Germany,Female,44,5,128605.32,1,0,1,171096.2,0
675,Germany,Female,29,8,121326.42,1,1,0,133457.52,0
789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0
571,Germany,Female,64,9,111577.01,1,0,1,189271.9,0
850,Germany,Female,31,1,108822.4,1,1,1,132173.31,0
683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1
649,Germany,Male,64,9,116854.71,0,0,1,107125.79,0
635,Germany,Male,43,5,78992.75,0,0,0,153265.31,0
749,Germany,Female,44,0,71497.79,0,0,0,151083.8,0
614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1
551,Germany,Male,31,9,82293.82,0,1,1,91565.25,0
752,Germany,Female,42,3,65046.08,0,0,1,140139.28,0
811,Germany,Female,28,4,167738.82,0,1,1,9903.42,0
648,Germany,Female,42,8,121980.56,0,1,0,4027.02,0
725,Germany,Male,39,1,53102.854400000004,0,1,1,184023.54,0
601,Germany,Female,26,7,105514.69,0,1,0,50070.59,0
521,Germany,Male,52,5,116497.31,0,0,0,53793.1,1
541,Germany,Male,40,7,95710.11,0,1,0,49063.42,0
778,Germany,Male,41,7,139706.31,1,1,0,63337.19,0
850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1
737,Germany,Male,35,0,133377.8,1,0,1,64050.19,0
812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0
631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1
607,Germany,Male,38,3,98205.77,1,1,0,176318.27,0
640,Germany,Male,33,8,81677.22,0,0,0,34925.56,0
613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1
650,Germany,Male,26,4,185160.94680000003,0,1,0,128815.33,0
686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1
695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0
743,Germany,Female,32,6,140348.56,0,1,1,163254.39,0
677,Germany,Female,41,8,146720.98,0,1,1,4195.84,0
766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0
539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0
756,Germany,Female,39,3,100717.85,0,1,1,73406.04,1
512,Germany,Female,32,2,123403.85,0,1,0,80120.19,0
453,Germany,Female,34,1,135549.9,1,0,0,149471.13,1
679,Germany,Male,38,7,110555.37,0,1,0,46522.68,0
833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1
731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1
848,Germany,Male,31,4,90018.45,0,1,0,193132.98,0
698,Germany,Male,56,1,112414.81,0,0,0,93982.02,1
779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1
612,Germany,Female,58,1,149641.53,1,1,1,115161.28,0
549,Germany,Female,45,3,143734.01,0,1,1,96404.38,0
571,Germany,Female,34,1,101736.66,1,0,1,195651.66,0
733,Germany,Male,31,6,157791.07,0,0,0,177994.81,0
468,Germany,Male,42,9,181627.14,0,1,0,172668.39,0
765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1
614,Germany,Female,30,3,131344.52,0,1,0,54776.64,0
593,Germany,Female,29,5,101713.84,0,1,0,134594.99,0
652,Germany,Male,45,2,151421.44,1,0,1,115333.43,0
755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1
453,Germany,Female,58,9,125801.03,0,1,0,60891.8,1
747,Germany,Female,32,5,67495.04,0,0,1,77370.37,0
712,Germany,Female,49,5,154776.42,0,0,0,196257.68,0
622,Germany,Female,28,1,143124.63,0,1,0,81723.8,0
693,Germany,Male,40,0,120711.73,1,0,0,27345.18,1
647,Germany,Female,43,3,122717.53,0,1,1,87000.39,0
807,Germany,Female,31,1,93460.47,0,0,0,172782.69,0
651,Germany,Female,24,7,53102.854400000004,1,1,1,178341.33,0
584,Germany,Male,47,7,130538.77,1,1,0,92915.84,0
639,Germany,Male,27,3,150795.81,1,0,1,85208.93,0
718,Germany,Male,28,4,65643.3,1,1,0,28760.99,0
772,Germany,Male,30,6,99785.28,0,0,0,197238.03,0
453,Germany,Male,46,2,127655.22,1,1,0,139994.68,1
752,Germany,Male,30,4,81523.38,1,1,1,36885.85,0
505,Germany,Male,29,3,145541.56,0,1,1,58019.95,0
693,Germany,Male,44,5,124601.58,0,1,1,46998.13,1
725,Germany,Female,33,7,115182.84,0,1,1,177279.41,0
531,Germany,Female,42,6,88324.31,0,1,0,75248.75,0
775,Germany,Male,36,2,109949.05,0,0,1,71682.54,0
587,Germany,Male,46,9,107850.82,1,1,0,139431.0,1
667,Germany,Female,39,4,83765.35,0,1,0,118358.54,0
523,Germany,Male,63,6,116227.27,1,1,1,119404.63,0
662,Germany,Male,33,0,103471.52,1,1,1,162703.0,0
696,Germany,Male,30,4,114027.7,1,1,1,193716.56,0
693,Germany,Male,25,6,146580.69,1,0,1,14633.35,0
587,Germany,Female,38,0,132122.42,0,0,0,31730.32,0
548,Germany,Male,32,5,175214.71,1,1,1,155165.61,0
588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1
499,Germany,Female,55,4,126817.65,0,1,0,123269.71,0
559,Germany,Female,36,1,104356.94,0,0,1,54184.06,0
704,Germany,Male,27,5,147004.34,1,1,0,64381.33,1
744,Germany,Male,38,6,73023.17,0,1,0,78770.86,0
837,Germany,Male,38,2,126732.85,1,1,1,79577.38,0
724,Germany,Male,30,7,115315.04,1,1,0,15216.53,0
585,Germany,Female,39,7,165610.41,0,0,0,131852.01,0
635,Germany,Male,37,5,113488.68,1,1,0,95611.74,1
672,Germany,Male,40,10,102980.44,1,1,0,1285.81,1
653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0
618,Germany,Male,42,8,153572.31,0,1,1,76679.6,0
593,Germany,Female,32,9,134096.53,0,1,0,53931.05,1
811,Germany,Male,52,10,76915.4,1,0,0,146359.81,1
748,Germany,Female,27,2,90971.85,1,1,1,131662.47,0
756,Germany,Male,41,2,124439.49,0,0,1,47093.11,0
687,Germany,Male,26,2,142721.52,1,1,1,153605.75,0
593,Germany,Female,62,3,118233.81,1,0,1,24765.53,1
849,Germany,Male,37,7,143452.74,0,1,1,17294.12,0
539,Germany,Female,38,8,82407.51,1,1,0,13123.41,0
489,Germany,Male,28,1,79460.98,0,1,1,167973.63,0
710,Germany,Female,30,10,133537.1,0,1,0,155593.74,0
460,Germany,Female,40,6,119507.58,0,1,0,91560.63,1
535,Germany,Male,48,5,134542.73,1,1,1,58203.67,1
647,Germany,Female,22,3,97975.82,0,0,1,62083.0,0
555,Germany,Male,41,10,113270.2,0,1,1,185387.14,0
850,Germany,Male,39,3,124548.99,0,1,1,120380.12,0
608,Germany,Male,44,7,114203.47,1,1,1,77830.36,1
652,Germany,Male,50,8,125437.64,1,1,1,17160.94,1
528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1
668,Germany,Female,32,10,92041.87,1,1,1,43595.9,0
625,Germany,Male,26,3,130483.95,1,1,0,122810.53,0
775,Germany,Female,38,4,125212.65,0,1,1,15795.88,1
487,Germany,Female,46,4,135070.58,0,1,1,44244.49,1
685,Germany,Female,30,4,84958.6,0,0,1,194343.72,0
673,Germany,Female,29,4,99097.36,1,1,1,9796.69,0
503,Germany,Male,30,10,136622.55,0,0,0,47310.24,0
485,Germany,Female,30,5,156771.68,1,1,1,141148.21,0
799,Germany,Male,28,7,167658.33,0,1,1,111138.25,0
607,Germany,Female,24,2,109483.54,0,0,1,127560.77,0
521,Germany,Female,40,9,134504.78,1,1,0,18082.06,0
520,Germany,Male,32,5,110029.77,1,1,0,56246.69,0
657,Germany,Male,30,1,139762.13,0,1,1,23317.88,0
792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1
576,Germany,Male,28,1,119336.29,0,0,1,58976.85,0
504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1
558,Germany,Male,39,10,144757.02,1,1,0,22878.16,1
555,Germany,Female,46,4,120392.99,1,1,0,177719.88,1
594,Germany,Female,26,6,135067.52,0,0,0,131211.86,0
686,Germany,Male,35,2,109342.82,0,0,1,86043.27,0
616,Germany,Female,41,1,103560.57,1,1,0,236.45,1
624,Germany,Female,35,0,180303.24,0,1,0,163587.9,0
819,Germany,Female,49,1,120656.86,0,0,0,166164.3,1
568,Germany,Female,31,1,61592.14,0,1,1,61796.64,0
755,Germany,Female,30,6,154221.37,0,0,1,62688.55,0
595,Germany,Male,32,8,131081.66,0,1,1,69428.79,0
504,Germany,Female,43,7,102365.49,1,1,0,194690.77,1
685,Germany,Male,57,7,101868.51,1,0,1,113483.96,0
595,Germany,Female,25,7,106570.34,0,0,1,177025.79,0
796,Germany,Male,39,5,86350.87,0,0,0,105080.53,0
606,Germany,Male,48,4,132403.56,1,0,0,36091.91,1
549,Germany,Female,43,3,134985.66,1,1,0,6101.41,0
723,Germany,Male,52,5,131694.97,1,0,1,92873.5,1
661,Germany,Male,35,8,124098.54,1,1,0,86678.48,0
661,Germany,Female,32,1,145980.23,1,0,1,56636.28,0
573,Germany,Female,47,4,152522.47,1,0,1,164038.07,1
530,Germany,Male,23,1,137060.88,0,1,1,165227.23,0
654,Germany,Male,37,5,112146.12,1,1,0,75927.35,0
602,Germany,Female,42,6,158414.85,1,1,1,131886.46,0
701,Germany,Female,48,1,92072.68,1,1,1,133992.36,0
515,Germany,Male,37,2,90432.92,1,1,1,188366.04,1
760,Germany,Male,42,0,77992.97,0,1,1,97906.38,0
720,Germany,Female,43,10,110822.9,1,0,0,72861.94,0
632,Germany,Male,42,4,119624.6,0,1,1,195978.86,0
694,Germany,Male,31,6,109052.59,0,1,1,19448.93,1
773,Germany,Female,42,8,152324.66,0,1,0,171733.22,0
524,Germany,Female,37,9,127480.58,0,1,0,179634.69,0
651,Germany,Female,42,1,116646.76,1,1,0,44731.8,1
678,Germany,Male,23,10,115563.71,1,1,1,91633.53,0
618,Germany,Male,41,8,53102.854400000004,1,1,1,195775.48,0
453,Germany,Female,34,7,131082.17,0,1,1,70618.0,0
675,Germany,Male,36,7,89409.95,1,1,1,149399.7,0
706,Germany,Female,28,6,124923.35,0,1,1,50299.14,0
769,Germany,Male,27,7,185160.94680000003,1,1,0,171344.09,0
601,Germany,Female,48,8,120782.7,1,1,0,63940.68,1
576,Germany,Female,36,8,166287.85,1,1,1,23305.85,0
636,Germany,Female,31,9,80844.69,0,1,1,74641.9,0
566,Germany,Female,40,2,97001.36,0,1,0,154486.01,0
760,Germany,Female,49,9,91502.99,1,1,0,117232.9,1
739,Germany,Male,29,3,59385.98,0,1,1,105533.96,0
685,Germany,Female,21,6,97956.5,1,1,1,164966.27,0
712,Germany,Male,43,1,141749.74,0,0,1,90905.26,0
736,Germany,Male,46,5,130812.91,1,1,1,77981.54,1
657,Germany,Male,57,8,107174.58,1,1,1,126369.55,1
504,Germany,Male,32,8,170291.22,0,0,1,15658.99,0
506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0
570,Germany,Female,50,5,129293.74,1,1,0,177805.44,1
698,Germany,Female,40,8,150777.1,1,1,0,114732.62,0
581,Germany,Male,31,6,116891.72,1,1,0,107137.3,0
704,Germany,Female,54,6,133656.91,0,1,0,145071.33,1
690,Germany,Male,32,0,106683.52,0,1,1,137916.49,0
695,Germany,Male,40,7,139022.24,1,0,1,193383.13,0
700,Germany,Female,40,4,148571.07,1,1,0,189826.96,1
594,Germany,Male,41,2,122545.65,0,1,1,42050.24,0
652,Germany,Female,26,1,131908.35,1,1,1,179269.79,0
680,Germany,Female,42,7,105722.69,1,1,1,90558.24,1
613,Germany,Female,20,0,117356.19,1,0,0,113557.7,1
814,Germany,Male,44,8,95488.82,0,0,0,107013.59,0
485,Germany,Male,51,7,144244.59,0,1,0,51113.14,0
696,Germany,Female,31,8,122021.92,0,1,0,33828.64,0
790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0
850,Germany,Male,30,5,123210.56,0,1,1,102180.27,0
730,Germany,Male,45,6,152880.97,1,0,0,162478.11,0
685,Germany,Male,43,9,108589.47,0,0,1,194808.51,0
805,Germany,Female,33,3,105663.56,0,0,1,33330.89,0
627,Germany,Male,29,5,139541.58,0,1,0,80607.33,0
631,Germany,Female,37,2,121801.72,0,0,1,23146.62,0
776,Germany,Male,38,5,112281.7,1,0,1,89893.6,0
614,Germany,Male,32,7,99462.8,0,1,1,51117.06,0
672,Germany,Female,21,3,165878.76,0,1,1,164537.17,0
633,Germany,Female,29,0,138577.34,1,1,0,193362.99,0
