"","User.ID","Gender","Age","EstimatedSalary","Purchased","Segmento_Age"
"235",15619407,"Female",38,112000,"No Compra",2
"236",15646227,"Male",46,79000,"Compra",2
"237",15660541,"Male",40,57000,"No Compra",2
"238",15753874,"Female",37,80000,"No Compra",2
"239",15617877,"Female",46,82000,"No Compra",2
"241",15701537,"Male",42,149000,"Compra",2
"242",15736228,"Male",38,59000,"No Compra",2
"245",15586996,"Female",41,72000,"No Compra",2
"247",15638003,"Female",35,50000,"No Compra",2
"249",15730688,"Male",41,52000,"No Compra",2
"250",15753102,"Female",35,97000,"Compra",2
"251",15810075,"Female",44,39000,"No Compra",2
"252",15723373,"Male",37,52000,"No Compra",2
"254",15584320,"Female",37,146000,"Compra",2
"257",15609637,"Female",41,72000,"No Compra",2
"258",15794493,"Male",40,57000,"No Compra",2
"260",15815236,"Female",45,131000,"Compra",2
"261",15811177,"Female",35,77000,"No Compra",2
"262",15680587,"Male",36,144000,"Compra",2
"264",15767681,"Female",35,72000,"No Compra",2
"266",15801336,"Female",42,108000,"Compra",2
"267",15721592,"Male",40,75000,"No Compra",2
"268",15581282,"Male",37,74000,"No Compra",2
"269",15746203,"Female",47,144000,"Compra",2
"270",15583137,"Male",40,61000,"No Compra",2
"271",15680752,"Female",43,133000,"No Compra",2
"274",15589449,"Male",39,106000,"Compra",2
"277",15734312,"Male",38,71000,"No Compra",2
"282",15685536,"Male",35,61000,"No Compra",2
"283",15750447,"Male",37,70000,"Compra",2
"286",15734161,"Female",37,93000,"Compra",2
"287",15631070,"Female",37,62000,"No Compra",2
"289",15649668,"Male",41,79000,"No Compra",2
"290",15713912,"Female",37,78000,"Compra",2
"291",15586757,"Male",39,134000,"Compra",2
"294",15760570,"Male",37,77000,"No Compra",2
"295",15566689,"Female",35,57000,"No Compra",2
"296",15725794,"Female",36,63000,"No Compra",2
"297",15673539,"Male",42,73000,"Compra",2
"298",15705298,"Female",43,112000,"Compra",2
"299",15675791,"Male",45,79000,"No Compra",2
"300",15747043,"Male",46,117000,"Compra",2
"303",15720745,"Female",37,137000,"Compra",2
"304",15637593,"Male",37,79000,"Compra",2
"305",15598070,"Female",40,60000,"No Compra",2
"306",15787550,"Male",42,54000,"No Compra",2
"308",15733973,"Female",47,113000,"Compra",2
"309",15596761,"Male",36,125000,"Compra",2
"310",15652400,"Female",38,50000,"No Compra",2
"311",15717893,"Female",42,70000,"No Compra",2
"312",15622585,"Male",39,96000,"Compra",2
"313",15733964,"Female",38,50000,"No Compra",2
"315",15747097,"Female",39,79000,"No Compra",2
"316",15594762,"Female",39,75000,"Compra",2
"318",15684861,"Male",35,55000,"No Compra",2
"319",15742204,"Male",45,32000,"Compra",2
"320",15623502,"Male",36,60000,"No Compra",2
"323",15674331,"Male",41,52000,"No Compra",2
"326",15695679,"Female",41,60000,"No Compra",2
"327",15713463,"Male",41,72000,"No Compra",2
"328",15785170,"Female",42,75000,"No Compra",2
"329",15796351,"Male",36,118000,"Compra",2
"330",15639576,"Female",47,107000,"Compra",2
"331",15693264,"Male",38,51000,"No Compra",2
"333",15769902,"Male",42,65000,"No Compra",2
"334",15587177,"Male",40,65000,"No Compra",2
"336",15601550,"Female",36,54000,"No Compra",2
"338",15612465,"Male",35,79000,"No Compra",2
"339",15810800,"Female",38,55000,"No Compra",2
"340",15665760,"Male",39,122000,"Compra",2
"342",15776844,"Male",35,75000,"No Compra",2
"343",15717560,"Female",38,65000,"No Compra",2
"344",15629739,"Female",47,51000,"Compra",2
"345",15729908,"Male",47,105000,"Compra",2
"346",15716781,"Female",41,63000,"No Compra",2
"349",15579212,"Male",39,77000,"No Compra",2
"350",15721835,"Male",38,61000,"No Compra",2
"351",15800515,"Female",38,113000,"Compra",2
"352",15591279,"Male",37,75000,"No Compra",2
"353",15587419,"Female",42,90000,"Compra",2
"354",15750335,"Female",37,57000,"No Compra",2
"355",15699619,"Male",36,99000,"Compra",2
"358",15671387,"Female",41,72000,"No Compra",2
"359",15573926,"Male",40,71000,"Compra",2
"360",15709183,"Male",42,54000,"No Compra",2
"361",15577514,"Male",43,129000,"Compra",2
"363",15768072,"Female",47,50000,"Compra",2
"364",15768293,"Female",42,79000,"No Compra",2
"365",15654456,"Male",42,104000,"Compra",2
"368",15671249,"Male",46,88000,"Compra",2
"369",15779744,"Male",38,71000,"No Compra",2
"373",15629885,"Female",39,73000,"No Compra",2
"375",15793890,"Female",37,80000,"No Compra",2
"376",15646091,"Female",46,32000,"Compra",2
"377",15596984,"Female",46,74000,"No Compra",2
"378",15800215,"Female",42,53000,"No Compra",2
"379",15577806,"Male",41,87000,"Compra",2
"381",15683758,"Male",42,64000,"No Compra",2
"383",15715622,"Female",44,139000,"Compra",2
"388",15627220,"Male",39,71000,"No Compra",2
"389",15672330,"Male",47,34000,"Compra",2
"392",15592570,"Male",47,23000,"Compra",2
"393",15748589,"Female",45,45000,"Compra",2
"395",15757632,"Female",39,59000,"No Compra",2
"396",15691863,"Female",46,41000,"Compra",2
"399",15755018,"Male",36,33000,"No Compra",2
