"","Gender","Age","EstimatedSalary","Purchased"
"201","1",40,61000,"0"
"202","0",43,133000,"0"
"203","0",59,76000,"1"
"204","1",39,106000,"1"
"205","0",57,26000,"1"
"206","1",57,74000,"1"
"207","1",38,71000,"0"
"208","0",52,38000,"1"
"209","0",59,88000,"1"
"210","1",35,61000,"0"
"211","0",52,21000,"1"
"212","1",48,141000,"0"
"213","0",37,93000,"1"
"214","0",37,62000,"0"
"215","1",41,79000,"0"
"216","0",37,78000,"1"
"217","1",39,134000,"1"
"218","1",49,89000,"1"
"219","1",55,39000,"1"
"220","0",35,57000,"0"
"221","0",36,63000,"0"
"222","1",42,73000,"1"
"223","0",43,112000,"1"
"224","1",45,79000,"0"
"225","1",46,117000,"1"
"226","0",58,38000,"1"
"227","1",48,74000,"1"
"228","0",37,137000,"1"
"229","1",37,79000,"1"
"230","0",40,60000,"0"
"231","0",51,134000,"0"
"232","0",47,113000,"1"
"233","1",36,125000,"1"
"234","0",38,50000,"0"
"235","0",42,70000,"0"
"236","1",39,96000,"1"
"237","0",38,50000,"0"
"238","0",39,79000,"0"
"239","0",39,75000,"1"
"240","0",54,104000,"1"
"241","1",35,55000,"0"
"242","1",45,32000,"1"
"243","1",36,60000,"0"
"244","0",53,82000,"1"
"245","1",41,52000,"0"
"246","0",48,30000,"1"
"247","0",48,131000,"1"
"248","0",41,60000,"0"
"249","1",41,72000,"0"
"250","0",47,107000,"1"
"251","1",38,51000,"0"
"252","0",48,119000,"1"
"253","1",40,65000,"0"
"254","0",36,54000,"0"
"255","1",58,144000,"1"
"256","1",35,79000,"0"
"257","1",39,122000,"1"
"258","0",53,104000,"1"
"259","0",38,65000,"0"
"260","0",47,51000,"1"
"261","1",47,105000,"1"
"262","0",41,63000,"0"
"263","1",53,72000,"1"
"264","1",39,77000,"0"
"265","1",38,61000,"0"
"266","1",37,75000,"0"
"267","0",42,90000,"1"
"268","0",37,57000,"0"
"269","1",36,99000,"1"
"270","1",60,34000,"1"
"271","0",41,72000,"0"
"272","1",40,71000,"1"
"273","1",42,54000,"0"
"274","1",43,129000,"1"
"275","1",42,104000,"1"
"276","0",58,47000,"1"
"277","1",46,88000,"1"
"278","0",54,26000,"1"
"279","0",60,46000,"1"
"280","0",39,73000,"0"
"281","1",59,130000,"1"
"282","0",46,32000,"1"
"283","0",46,74000,"0"
"284","1",41,87000,"1"
"285","0",58,23000,"1"
"286","1",42,64000,"0"
"287","1",48,33000,"1"
"288","0",44,139000,"1"
"289","1",49,28000,"1"
"290","0",49,39000,"1"
"291","1",39,71000,"0"
"292","1",47,34000,"1"
"293","0",48,35000,"1"
"294","1",47,23000,"1"
"295","0",45,45000,"1"
"296","1",60,42000,"1"
"297","0",46,41000,"1"
"298","1",51,23000,"1"
"299","0",50,20000,"1"
"300","0",49,36000,"1"
